1E+07	-85.82417	-91.0042	-92.29943	-86.29093	-90.64995	-82.62116	-91.71573	-82.25742	-89.58647	-87.2802	-83.90359	-95.88031	-85.68304	-78.05934	-88.8643	-86.36121	-85.14663	-93.69129	-94.68772	-88.48214	-85.68925	-100.552	-82.26353	-79.18067
2E+07	-81.35144	-86.20251	-84.24709	-81.16376	-85.06542	-80.32861	-75.79952	-81.34834	-84.12502	-83.82796	-91.00439	-82.93719	-82.26483	-84.76624	-86.5812	-78.53024	-84.12695	-86.10007	-77.69121	-83.41351	-77.56843	-86.74439	-88.79838	-90.98504
3E+07	-81.92728	-83.08203	-84.7898	-82.20109	-87.22998	-82.01328	-82.53445	-90.33351	-85.85245	-91.40873	-80.52235	-97.57664	-87.33743	-83.91736	-88.57853	-95.3418	-82.05991	-88.6006	-98.47014	-80.34084	-85.62359	-83.52413	-81.63055	-89.7131
4E+07	-97.81741	-81.15434	-83.72675	-101.5422	-81.42384	-86.14951	-80.4048	-92.44183	-82.08081	-87.53117	-82.12582	-82.54169	-99.21994	-87.4884	-91.43544	-86.5956	-78.93256	-82.68347	-90.9429	-83.10715	-85.87514	-88.69408	-86.96114	-79.17509
5E+07	-92.10413	-81.21063	-89.35933	-85.48543	-81.96791	-77.37714	-84.82231	-84.21139	-90.89462	-83.54469	-92.89491	-86.04572	-86.92786	-86.31326	-81.74475	-81.11705	-92.89	-79.29951	-84.17805	-83.742	-81.31112	-78.09559	-81.61248	-81.48352
6E+07	-85.34196	-77.30193	-90.20078	-77.60583	-87.15364	-85.60876	-78.02628	-77.99799	-78.34122	-84.75059	-80.97447	-81.44217	-84.24686	-84.94668	-84.26581	-81.95502	-77.75469	-78.18247	-87.02789	-99.71549	-79.97564	-85.84341	-78.55969	-82.13863
7E+07	-90.64146	-76.14749	-87.61352	-85.38141	-82.97379	-77.89855	-83.3606	-92.36613	-80.60191	-76.38499	-95.53217	-86.71501	-77.62328	-79.72666	-81.24344	-85.01557	-79.03823	-76.68768	-85.00224	-81.90678	-86.26763	-82.7821	-80.40592	-82.88316
8E+07	-83.26824	-76.84086	-87.12769	-91.19915	-86.1679	-77.81377	-74.19352	-89.1591	-82.11471	-88.26019	-78.40968	-79.15517	-78.36041	-81.34367	-82.36205	-78.21694	-80.50661	-75.00304	-80.60635	-80.37357	-89.58289	-82.76134	-83.19194	-87.05936
9E+07	-81.18613	-76.68002	-81.16817	-90.04984	-92.29848	-79.75591	-74.53912	-93.57391	-76.20605	-82.61952	-73.32481	-85.07181	-75.91037	-77.71907	-82.08053	-80.01978	-84.56972	-75.67214	-83.28262	-79.98364	-85.14418	-89.57515	-75.38919	-78.80575
1E+08	-95.00363	-84.58493	-80.52712	-79.57583	-78.37474	-76.15466	-77.14882	-78.93633	-75.94446	-100.2326	-81.81023	-91.7565	-80.38943	-77.92546	-82.86272	-98.22696	-90.44402	-77.34101	-75.67761	-84.7121	-77.60565	-83.71466	-75.04671	-85.46075
1.1E+08	-86.62436	-79.57941	-87.4776	-81.43311	-85.74561	-76.31081	-79.25122	-81.86344	-86.87199	-87.03419	-84.23646	-77.42066	-83.91219	-77.39104	-82.51994	-76.6205	-76.28976	-81.18369	-81.1319	-83.80919	-78.31412	-88.79033	-76.76659	-84.07602
1.2E+08	-83.27301	-72.32011	-82.49641	-73.87292	-81.85334	-76.7102	-77.03917	-77.54655	-78.17283	-93.91177	-80.05084	-84.03011	-81.93878	-80.4644	-79.99475	-78.60455	-77.55727	-80.2323	-79.09761	-90.39661	-80.41724	-82.72055	-77.68291	-78.96217
1.3E+08	-83.58254	-74.13894	-99.78159	-80.02392	-91.42956	-75.9285	-76.78992	-83.31608	-81.76677	-90.37181	-80.35992	-79.00516	-76.28846	-86.59698	-82.29451	-88.82381	-82.9201	-79.56522	-92.52686	-89.76997	-82.80151	-84.36607	-78.62061	-76.71821
