SDD21_Lower	ILD_Upper	ILD_Lower	SDD11_Upper
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
-17.04	.978	-.978	-9.67620999227555
-17.04	.98	-.98	-9.66761924206188
-17.04	.982	-.982	-9.65906001785607
-17.04	.984	-.984	-9.65053197510585
-17.04	.986	-.986	-9.64203477548968
-17.04	.988	-.988	-9.63356808676015
-17.04	.99	-.99	-9.62513158259242
-17.04	.992	-.992	-9.6167249424374
-17.04	.994	-.994	-9.60834785137972
-17.04	.996	-.996	-9.6
-17.04	.998	-.998	-9.59168108424154
-17.04	1	-1	-9.58339080528109
-17.04	1.002	-1.002	-9.57512886940357
-17.04	1.004	-1.004	-9.56689498788071
-17.04	1.006	-1.006	-9.55868887685326
-17.04	1.008	-1.008	-9.55051025721682
-17.04	1.01	-1.01	-9.5423588545111
-17.04	1.012	-1.012	-9.53423439881241
-17.04	1.014	-1.014	-9.5261366246294
-17.04	1.016	-1.016	-9.51806527080183
-17.04	1.018	-1.018	-9.51002008040225
-17.04	1.02	-1.02	-9.50200080064064
-17.04	1.022	-1.022	-9.49400718277167
-17.04	1.024	-1.024	-9.48603898200469
-17.04	1.026	-1.026	-9.4780959574163
-17.04	1.028	-1.028	-9.4701778718653
-17.04	1.03	-1.03	-9.4622844919101
-17.04	1.032	-1.032	-9.45441558772843
-17.04	1.034	-1.034	-9.44657093303926
-17.04	1.036	-1.036	-9.43875030502686
-17.04	1.038	-1.038	-9.43095348426697
-17.04	1.04	-1.04	-9.42318025465497
-17.04	1.042	-1.042	-9.41543040333598
-17.04	1.044	-1.044	-9.40770372063686
-17.04	1.046	-1.046	-9.4
-17.04	1.048	-1.048	-9.39231903791894
-17.04	1.05	-1.05	-9.3846606338756
-17.04	1.052	-1.052	-9.3770245902792
-17.04	1.054	-1.054	-9.36941071240682
-17.04	1.056	-1.056	-9.36181880834542
-17.04	1.058	-1.058	-9.35424868893541
-17.04	1.06	-1.06	-9.34670016771568
-17.04	1.062	-1.062	-9.33917306086999
-17.04	1.064	-1.064	-9.33166718717473
-17.04	1.066	-1.066	-9.32418236794807
