1E+07	-71.89841	-69.26316	-80.43912	-73.1358	-74.98547	-64.72803	-71.84267	-77.71808	-70.86238	-79.2302	-74.2786	-74.59149	-75.06378	-83.5242	-75.79247	-73.3905	-66.91535	-72.49153	-78.47784	-77.43062	-78.44769	-68.219	-74.08374	-71.26481	-73.77708	-75.40915	-76.01258	-77.22293	-79.52267	-77.03647	-79.10263	-72.83327
2E+07	-80.66093	-80.83319	-80.29668	-74.92428	-77.26256	-73.99132	-83.1936	-86.93561	-71.23441	-77.65163	-82.63376	-72.3591	-91.74671	-72.2186	-72.21746	-85.53712	-89.01031	-73.22247	-82.54744	-70.24603	-79.15831	-77.66591	-85.87281	-85.48248	-78.44705	-77.82606	-76.74077	-76.71884	-76.92648	-70.30125	-80.78941	-75.42308
3E+07	-77.04353	-82.36867	-80.2388	-76.49571	-71.55126	-77.37205	-74.01952	-75.23709	-71.71082	-70.71869	-79.26901	-79.52229	-72.1821	-73.09098	-82.35475	-70.2996	-73.99828	-77.5726	-79.44049	-78.01976	-80.63989	-68.4453	-74.978	-73.90961	-76.81078	-86.19775	-84.35939	-78.8748	-87.43315	-77.78107	-75.50605	-74.31606
4E+07	-73.81673	-89.71298	-78.73434	-79.89485	-78.5373	-84.15059	-80.07934	-73.79254	-80.61096	-80.99641	-86.4172	-74.47082	-81.01962	-93.72575	-77.43087	-76.86649	-75.98265	-79.31116	-72.36901	-69.42115	-75.24861	-72.69057	-81.19685	-77.09277	-78.36005	-75.06642	-74.14021	-76.19826	-78.38517	-81.16373	-75.67003	-83.31239
5E+07	-71.14181	-78.73624	-85.28325	-73.31233	-68.65136	-78.03712	-80.72562	-74.65215	-73.9645	-72.29384	-70.3291	-86.43468	-73.08195	-77.17785	-81.44349	-69.90104	-76.91751	-80.06591	-71.77103	-82.77222	-84.11505	-73.59492	-79.79747	-80.76414	-76.83002	-94.72849	-78.75166	-77.01348	-71.3063	-82.0042	-78.94823	-76.6265
6E+07	-75.69989	-68.53779	-68.17561	-79.29306	-76.8331	-76.76618	-75.12893	-71.53855	-70.03553	-76.98887	-73.845	-76.22226	-78.94124	-75.64926	-70.75322	-79.14223	-83.70029	-75.49421	-84.72131	-74.0876	-71.43719	-77.17997	-80.31844	-85.05653	-84.33366	-76.69725	-76.80627	-76.43477	-74.21082	-78.11517	-92.44701	-74.71082
7E+07	-82.33348	-72.35732	-74.51865	-79.44566	-75.0639	-71.62569	-74.19318	-74.85435	-76.27141	-76.9765	-70.83009	-74.92561	-82.43377	-74.82032	-74.60777	-85.03586	-71.39233	-93.14267	-74.26342	-79.5925	-71.65422	-86.45148	-72.29063	-67.31197	-79.25337	-76.18203	-76.29092	-76.6501	-88.12302	-73.57797	-79.6959	-71.05859
8E+07	-71.18653	-82.03495	-79.20161	-82.84509	-72.98258	-74.08688	-79.2274	-76.77617	-78.06787	-82.07582	-66.61684	-84.76747	-73.33375	-84.46365	-75.09981	-75.49604	-74.70483	-78.3057	-74.17632	-72.58949	-85.79124	-77.38138	-78.7415	-75.08716	-72.29367	-76.01052	-76.03931	-77.52073	-80.27797	-77.94116	-82.48662	-75.99578
9E+07	-74.12315	-76.81989	-89.04616	-72.94932	-82.04655	-81.59214	-91.89955	-73.07108	-78.74761	-83.4069	-73.78102	-76.62699	-79.308	-72.91938	-74.77625	-89.19918	-81.71321	-85.60112	-71.2239	-74.131	-80.88374	-79.70908	-76.42731	-73.2712	-77.95296	-72.99869	-101.0837	-79.08629	-72.60299	-75.61567	-75.49285	-69.78604
1E+08	-84.19602	-89.48485	-72.82693	-70.46798	-76.92378	-74.85683	-75.5919	-80.97594	-75.34077	-72.81603	-72.84649	-83.07227	-77.92505	-75.01851	-92.84369	-80.0484	-71.69324	-73.36058	-75.11968	-81.7859	-86.66318	-80.96246	-83.0225	-79.47364	-78.17089	-73.69615	-82.96506	-71.91196	-87.13277	-77.69841	-90.94906	-87.77647
