SDD21_Lower	SDD11_Upper	ILD_Upper	ILD_Lower	NEXT_Upper	FEXT_Upper	SDD21_offset
-4.84	-10.102633403899	.878	-.878	-1	-1	.313772
-4.84	-10.0921215971661	.88	-.88	-1	-1	.314086
-4.84	-10.0816673906749	.882	-.882	-1	-1	.315765
-4.84	-10.0712698478014	.884	-.884	-1	-1	.31781
-4.84	-10.0609280570335	.886	-.886	-1	-1	.318273
-4.84	-10.0506411310382	.888	-.888	-1	-1	.320075
-4.84	-10.0404082057735	.89	-.89	-1	-1	.321972
-4.84	-10.0302284396408	.892	-.892	-1	-1	.321225
-4.84	-10.0201010126777	.894	-.894	-1	-1	.324497
-4.84	-10.0100251257868	.896	-.896	-1	-1	.327081
-4.84	-10	.898	-.898	-1	-1	.328897
-4.84	-9.99002487577582	.9	-.9	-1	-1	.331683
-4.84	-9.98009901232759	.902	-.902	-1	-1	.335137
-4.84	-9.97022168698156	.904	-.904	-1	-1	.337052
-4.84	-9.96039219456289	.906	-.906	-1	-1	.338289
-4.84	-9.95060984680808	.908	-.908	-1	-1	.339868
-4.84	-9.9408739718026	.91	-.91	-1	-1	.34254
-4.84	-9.93118391344228	.912	-.912	-1	-1	.344892
-4.84	-9.92153903091735	.914	-.914	-1	-1	.347367
-4.84	-9.91193869821789	.916	-.916	-1	-1	.348051
-4.84	-9.9023823036597	.918	-.918	-1	-1	.351366
-4.84	-9.89286924942945	.92	-.92	-1	-1	.354081
-4.84	-9.88339895114833	.922	-.922	-1	-1	.354636
-4.84	-9.87397083745307	.924	-.924	-1	-1	.356202
-4.84	-9.86458434959374	.926	-.926	-1	-1	.357543
-4.84	-9.85523894104728	.928	-.928	-1	-1	.358481
-4.84	-9.8459340771462	.93	-.93	-1	-1	.360015
-4.84	-9.83666923472161	.932	-.932	-1	-1	.361544
-4.84	-9.82744390175996	.934	-.934	-1	-1	.365138
-4.84	-9.81825757707286	.936	-.936	-1	-1	.367768
-4.84	-9.80910976997934	.938	-.938	-1	-1	.369556
-4.84	-9.8	.94	-.94	-1	-1	.37149
-4.84	-9.79092779656255	.942	-.942	-1	-1	.374479
-4.84	-9.78189269871812	.944	-.944	-1	-1	.375012
-4.84	-9.77289425486799	.946	-.946	-1	-1	.375898
-4.84	-9.76393202250021	.948	-.948	-1	-1	.377225
-6.97	-9.75500556793564	.95	-.95	-1	-1	.378706
-6.97	-9.74611446608307	.952	-.952	-1	-1	.380277
-6.97	-9.73725830020305	.954	-.954	-1	-1	.381865
-6.97	-9.72843666167989	.956	-.956	-1	-1	.383938
-6.97	-9.71964914980172	.958	-.958	-1	-1	.385184
-6.97	-9.71089537154808	.96	-.96	-1	-1	.387213
-6.97	-9.70217494138479	.962	-.962	-1	-1	.389903
-6.97	-9.69348748106584	.964	-.964	-1	-1	.391686
-6.97	-9.68483261944196	.966	-.966	-1	-1	.393341
-6.97	-9.67620999227555	.968	-.968	-1	-1	.394846
-6.97	-9.66761924206188	.97	-.97	-1	-1	.397402
-6.97	-9.65906001785607	.972	-.972	-1	-1	.400611
-6.97	-9.65053197510585	.974	-.974	-1	-1	.401955
-6.97	-9.64203477548968	.976	-.976	-1	-1	.404111
-6.97	-9.63356808676015	.978	-.978	-1	-1	.40607
-6.97	-9.62513158259242	.98	-.98	-1	-1	.408234
-6.97	-9.6167249424374	.982	-.982	-1	-1	.410367
-6.97	-9.60834785137972	.984	-.984	-1	-1	.410439
-6.97	-9.6	.986	-.986	-1	-1	.413462
-6.97	-9.59168108424154	.988	-.988	-1	-1	.415297
-6.97	-9.58339080528109	.99	-.99	-1	-1	.41738
-6.97	-9.57512886940357	.992	-.992	-1	-1	.41907
-6.97	-9.56689498788071	.994	-.994	-1	-1	.421692
-6.97	-9.55868887685326	.996	-.996	-1	-1	.423666
-6.97	-9.55051025721682	.998	-.998	-1	-1	.42576
-6.97	-9.5423588545111	1	-1	-1	-1	.42795
-6.97	-9.53423439881241	1.002	-1.002	-1	-1	.429294
-6.97	-9.5261366246294	1.004	-1.004	-1	-1	.429751
-6.97	-9.51806527080183	1.006	-1.006	-1	-1	.433075
-6.97	-9.51002008040225	1.008	-1.008	-1	-1	.435922
-6.97	-9.50200080064064	1.01	-1.01	-1	-1	.437969
-6.97	-9.49400718277167	1.012	-1.012	-1	-1	.439978
-6.97	-9.48603898200469	1.014	-1.014	-1	-1	.441403
-6.97	-9.4780959574163	1.016	-1.016	-1	-1	.443617
-6.97	-9.4701778718653	1.018	-1.018	-1	-1	.445052
-6.97	-9.4622844919101	1.02	-1.02	-1	-1	.446475
-6.97	-9.45441558772843	1.022	-1.022	-1	-1	.450486
-6.97	-9.44657093303926	1.024	-1.024	-1	-1	.450855
-6.97	-9.43875030502686	1.026	-1.026	-1	-1	.45284
-6.97	-9.43095348426697	1.028	-1.028	-1	-1	.453147
-6.97	-9.42318025465497	1.03	-1.03	-1	-1	.454636
-6.97	-9.41543040333598	1.032	-1.032	-1	-1	.457612
-6.97	-9.40770372063686	1.034	-1.034	-1	-1	.457712
-6.97	-9.4	1.036	-1.036	-1	-1	.460824
-6.97	-9.39231903791894	1.038	-1.038	-1	-1	.461657
-6.97	-9.3846606338756	1.04	-1.04	-1	-1	.464406
-6.97	-9.3770245902792	1.042	-1.042	-1	-1	.464965
-6.97	-9.36941071240682	1.044	-1.044	-1	-1	.468124
-6.97	-9.36181880834542	1.046	-1.046	-1	-1	.469392
-6.97	-9.35424868893541	1.048	-1.048	-1	-1	.471651
-6.97	-9.34670016771568	1.05	-1.05	-1	-1	.472113
-6.97	-9.33917306086999	1.052	-1.052	-1	-1	.47367
-6.97	-9.33166718717473	1.054	-1.054	-1	-1	.474758
-6.97	-9.32418236794807	1.056	-1.056	-1	-1	.476852
-6.97	-9.31671842700025	1.058	-1.058	-1	-1	.479459
-6.97	-9.30927519058526	1.06	-1.06	-1	-1	.47989
-6.97	-9.30185248735359	1.062	-1.062	-1	-1	.4819
-6.97	-9.29445014830626	1.064	-1.064	-1	-1	.481961
-6.97	-9.28706800674989	1.066	-1.066	-1	-1	.48362
-6.97	-9.27970589825291	1.068	-1.068	-1	-1	.485633
-6.97	-9.27236366060283	1.07	-1.07	-1	-1	.487758
-6.97	-9.26504113376453	1.072	-1.072	-1	-1	.488467
-6.97	-9.25773815983958	1.074	-1.074	-1	-1	.48866
-6.97	-9.2504545830265	1.076	-1.076	-1	-1	.490622
-6.97	-9.24319024958196	1.078	-1.078	-1	-1	.492578
-6.97	-9.23594500778295	1.08	-1.08	-1	-1	.493074
-6.97	-9.2287187078898	1.082	-1.082	-1	-1	.494246
-6.97	-9.22151120211004	1.084	-1.084	-1	-1	.496451
-6.97	-9.21432234456318	1.086	-1.086	-1	-1	.497805
-6.97	-9.20715199124621	1.088	-1.088	-1	-1	.49945
-6.97	-9.2	1.09	-1.09	-1	-1	.500859
-6.97	-9.19286623047636	1.092	-1.092	-1	-1	.502626
-6.97	-9.18575054410594	1.094	-1.094	-1	-1	.503163
-6.97	-9.17865280406682	1.096	-1.096	-1	-1	.505428
-6.97	-9.17157287525381	1.098	-1.098	-1	-1	.506804
-6.97	-9.16451062424844	1.1	-1.1	-1	-1	.508511
-6.97	-9.15746591928962	1.102	-1.102	-1	-1	.509893
-6.97	-9.150438630245	1.104	-1.104	-1	-1	.511632
-6.97	-9.14342862858286	1.106	-1.106	-1	-1	.513024
-6.97	-9.13643578734473	1.108	-1.108	-1	-1	.513968
-6.97	-9.12945998111853	1.11	-1.11	-1	-1	.514841
-6.97	-9.12250108601237	1.112	-1.112	-1	-1	.51771
-6.97	-9.11555897962881	1.114	-1.114	-1	-1	.518974
-6.97	-9.10863354103981	1.116	-1.116	-1	-1	.518693
-6.97	-9.10172465076211	1.118	-1.118	-1	-1	.52033
-6.97	-9.09483219073321	1.12	-1.12	-1	-1	.522728
-6.97	-9.08795604428779	1.122	-1.122	-1	-1	.523742
-6.97	-9.08109609613471	1.124	-1.124	-1	-1	.523683
-6.97	-9.07425223233444	1.126	-1.126	-1	-1	.526792
-6.97	-9.06742434027696	1.128	-1.128	-1	-1	.528127
-6.97	-9.06061230866019	1.13	-1.13	-1	-1	.529973
-6.97	-9.05381602746875	1.132	-1.132	-1	-1	.532704
-6.97	-9.04703538795332	1.134	-1.134	-1	-1	.532125
-6.97	-9.04027028261025	1.136	-1.136	-1	-1	.533827
-6.97	-9.03352060516174	1.138	-1.138	-1	-1	.535178
-6.97	-9.0267862505363	1.14	-1.14	-1	-1	.537621
-6.97	-9.02006711484973	1.142	-1.142	-1	-1	.538674
-6.97	-9.01336309538639	1.144	-1.144	-1	-1	.539494
-6.97	-9.00667409058085	1.146	-1.146	-1	-1	.541201
-6.97	-9	1.148	-1.148	-1	-1	.543087
-6.97	-8.99334072432542	1.15	-1.15	-1	-1	.544079
-6.97	-8.98669616533613	1.152	-1.152	-1	-1	.546616
-6.97	-8.9800662258917	1.154	-1.154	-1	-1	.5478
-6.97	-8.97345080991569	1.156	-1.156	-1	-1	.549363
-6.97	-8.96684982237938	1.158	-1.158	-1	-1	.550539
-6.97	-8.96026316928587	1.16	-1.16	-1	-1	.553499
-6.97	-8.95369075765444	1.162	-1.162	-1	-1	.555076
-6.97	-8.94713249550525	1.164	-1.164	-1	-1	.556496
-6.97	-8.94058829184433	1.166	-1.166	-1	-1	.55871
-6.97	-8.93405805664882	1.168	-1.168	-1	-1	.560164
-6.97	-8.92754170085256	1.17	-1.17	-1	-1	.560913
-6.97	-8.92103913633187	1.172	-1.172	-1	-1	.563721
-6.97	-8.9145502758917	1.174	-1.174	-1	-1	.564776
-6.97	-8.90807503325194	1.176	-1.176	-1	-1	.567227
-6.97	-8.90161332303407	1.178	-1.178	-1	-1	.567385
-6.97	-8.895165060748	1.18	-1.18	-1	-1	.569178
-6.97	-8.88873016277919	1.182	-1.182	-1	-1	.571185
-6.97	-8.88230854637602	1.184	-1.184	-1	-1	.572503
-6.97	-8.87590012963734	1.186	-1.186	-1	-1	.575491
-6.97	-8.86950483150029	1.188	-1.188	-1	-1	.578306
-6.97	-8.86312257172838	1.19	-1.19	-1	-1	.578616
-6.97	-8.85675327089966	1.192	-1.192	-1	-1	.579991
-6.97	-8.85039685039528	1.194	-1.194	-1	-1	.582559
-6.97	-8.8440532323881	1.196	-1.196	-1	-1	.583994
-6.97	-8.83772233983162	1.198	-1.198	-1	-1	.58592
-8.19	-8.83140409644903	1.2	-1.2	-1	-1	.588535
-8.19	-8.82509842672249	1.202	-1.202	-1	-1	.589637
-8.19	-8.81880525588263	1.204	-1.204	-1	-1	.590522
-8.19	-8.81252450989815	1.206	-1.206	-1	-1	.591751
-8.19	-8.80625611546574	1.208	-1.208	-1	-1	.593818
-8.19	-8.8	1.21	-1.21	-1	-1	.596779
-8.19	-8.79375609162372	1.212	-1.212	-1	-1	.59755
-8.19	-8.7875243191582	1.214	-1.214	-1	-1	.599341
-8.19	-8.78130461211378	1.216	-1.216	-1	-1	.601614
-8.19	-8.77509690068058	1.218	-1.218	-1	-1	.602478
-8.19	-8.7689011157193	1.22	-1.22	-1	-1	.604041
-8.19	-8.76271718875227	1.222	-1.222	-1	-1	.605277
-8.19	-8.75654505195463	1.224	-1.224	-1	-1	.605766
-8.19	-8.75038463814562	1.226	-1.226	-1	-1	.6083
-8.19	-8.74423588078006	1.228	-1.228	-1	-1	.609258
-8.19	-8.73809871393998	1.23	-1.23	-1	-1	.610144
-8.19	-8.73197307232636	1.232	-1.232	-1	-1	.611904
-8.19	-8.72585889125102	1.234	-1.234	-1	-1	.614151
-8.19	-8.71975610662865	1.236	-1.236	-1	-1	.616754
-8.19	-8.713664654969	1.238	-1.238	-1	-1	.618531
-8.19	-8.70758447336913	1.24	-1.24	-1	-1	.619565
-8.19	-8.70151549950587	1.242	-1.242	-1	-1	.620767
-8.19	-8.69545767162834	1.244	-1.244	-1	-1	.62174
-8.19	-8.68941092855063	1.246	-1.246	-1	-1	.623739
-8.19	-8.6833752096446	1.248	-1.248	-1	-1	.625307
-8.19	-8.67735045483277	1.25	-1.25	-1	-1	.626517
-8.19	-8.67133660458135	1.252	-1.252	-1	-1	.628347
-8.19	-8.66533359989339	1.254	-1.254	-1	-1	.628686
-8.19	-8.65934138230199	1.256	-1.256	-1	-1	.630777
-8.19	-8.6533598938637	1.258	-1.258	-1	-1	.633631
-8.19	-8.64738907715196	1.26	-1.26	-1	-1	.633932
-8.19	-8.64142887525067	1.262	-1.262	-1	-1	.636033
-8.19	-8.63547923174785	1.264	-1.264	-1	-1	.636999
-8.19	-8.62954009072946	1.266	-1.266	-1	-1	.638887
-8.19	-8.62361139677317	1.268	-1.268	-1	-1	.642297
-8.19	-8.61769309494245	1.27	-1.27	-1	-1	.643529
-8.19	-8.61178513078052	1.272	-1.272	-1	-1	.642501
-8.19	-8.60588745030457	1.274	-1.274	-1	-1	.643131
-8.19	-8.6	1.276	-1.276	-1	-1	.643974
-8.19	-8.59412272681472	1.278	-1.278	-1	-1	.645417
-8.19	-8.5882555781536	1.28	-1.28	-1	-1	.647556
-8.19	-8.58239850187299	1.282	-1.282	-1	-1	.647664
-8.19	-8.57655144627526	1.284	-1.284	-1	-1	.650095
-8.19	-8.57071436010355	1.286	-1.286	-1	-1	.650329
-8.19	-8.56488719253647	1.288	-1.288	-1	-1	.651721
-8.19	-8.55906989318295	1.29	-1.29	-1	-1	.653089
-8.19	-8.55326241207718	1.292	-1.292	-1	-1	.655781
-8.19	-8.54746469967359	1.294	-1.294	-1	-1	.656272
-8.19	-8.54167670684188	1.296	-1.296	-1	-1	.656718
-8.19	-8.53589838486225	1.298	-1.298	-1	-1	.659255
-8.19	-8.5301296854205	1.3	-1.3	-1	-1	.660543
-8.19	-8.52437056060345	1.302	-1.302	-1	-1	.660149
-8.19	-8.51862096289416	1.304	-1.304	-1	-1	.659778
-8.19	-8.51288084516746	1.306	-1.306	-1	-1	.663202
-8.19	-8.5071501606854	1.308	-1.308	-1	-1	.665082
-8.19	-8.50142886309282	1.31	-1.31	-1	-1	.665408
-8.19	-8.49571690641295	1.312	-1.312	-1	-1	.667603
-8.19	-8.49001424504315	1.314	-1.314	-1	-1	.667751
-8.19	-8.48432083375061	1.316	-1.316	-1	-1	.669829
-8.19	-8.4786366276682	1.318	-1.318	-1	-1	.671639
-8.19	-8.47296158229032	1.32	-1.32	-1	-1	.671456
-8.19	-8.46729565346886	1.322	-1.322	-1	-1	.672437
-8.19	-8.46163879740917	1.324	-1.324	-1	-1	.675721
-8.19	-8.45599097066613	1.326	-1.326	-1	-1	.67624
-8.19	-8.45035213014023	1.328	-1.328	-1	-1	.67927
-8.19	-8.44472223307377	1.33	-1.33	-1	-1	.679642
-8.19	-8.43910123704703	1.332	-1.332	-1	-1	.680293
-8.19	-8.4334890999746	1.334	-1.334	-1	-1	.684096
-8.19	-8.42788578010165	1.336	-1.336	-1	-1	.684276
-8.19	-8.42229123600034	1.338	-1.338	-1	-1	.686146
-8.19	-8.41670542656622	1.34	-1.34	-1	-1	.688547
-8.19	-8.41112831101473	1.342	-1.342	-1	-1	.68923
-8.19	-8.40555984887772	1.344	-1.344	-1	-1	.691456
-8.19	-8.4	1.346	-1.346	-1	-1	.691815
-8.19	-8.39444872453601	1.348	-1.348	-1	-1	.694363
-10.27	-8.38890598294644	1.35	-1.35	-1	-1	.694975
-10.27	-8.38337173599498	1.352	-1.352	-1	-1	.698528
-10.27	-8.37784594474503	1.354	-1.354	-1	-1	.699195
-10.27	-8.37232857055659	1.356	-1.356	-1	-1	.703207
-10.27	-8.36681957508301	1.358	-1.358	-1	-1	.704651
-10.27	-8.36131892026795	1.36	-1.36	-1	-1	.704287
-10.27	-8.35582656834228	1.362	-1.362	-1	-1	.705958
-10.27	-8.35034248182107	1.364	-1.364	-1	-1	.708237
-10.27	-8.34486662350059	1.366	-1.366	-1	-1	.708225
-10.27	-8.33939895645537	1.368	-1.368	-1	-1	.712118
-10.27	-8.33393944403533	1.37	-1.37	-1	-1	.712425
-10.27	-8.32848804986284	1.372	-1.372	-1	-1	.715198
-10.27	-8.32304473782995	1.374	-1.374	-1	-1	.718678
-10.27	-8.31760947209561	1.376	-1.376	-1	-1	.719922
-10.27	-8.31218221708285	1.378	-1.378	-1	-1	.722956
-10.27	-8.30676293747612	1.38	-1.38	-1	-1	.724512
-10.27	-8.30135159821861	1.382	-1.382	-1	-1	.725874
-10.27	-8.29594816450957	1.384	-1.384	-1	-1	.728148
-10.27	-8.29055260180172	1.386	-1.386	-1	-1	.729833
-10.27	-8.28516487579866	1.388	-1.388	-1	-1	.730594
-10.27	-8.27978495245235	1.39	-1.39	-1	-1	.731379
-10.27	-8.27441279796057	1.392	-1.392	-1	-1	.732341
-10.27	-8.26904837876447	1.394	-1.394	-1	-1	.7338
-10.27	-8.26369166154612	1.396	-1.396	-1	-1	.736109
-10.27	-8.25834261322606	1.398	-1.398	-1	-1	.73688
-10.27	-8.25300120096096	1.4	-1.4	-1	-1	.738456
-10.27	-8.24766739214126	1.402	-1.402	-1	-1	.741216
-10.27	-8.24234115438881	1.404	-1.404	-1	-1	.741707
-10.27	-8.23702245555464	1.406	-1.406	-1	-1	.743738
-10.27	-8.23171126371665	1.408	-1.408	-1	-1	.745419
-10.27	-8.22640754717736	1.41	-1.41	-1	-1	.748338
-10.27	-8.22111127446176	1.412	-1.412	-1	-1	.748722
-10.27	-8.2158224143151	1.414	-1.414	-1	-1	.750663
-10.27	-8.21054093570072	1.416	-1.416	-1	-1	.752581
-10.27	-8.20526680779794	1.418	-1.418	-1	-1	.752233
-10.27	-8.2	1.42	-1.42	-1	-1	.754834
-10.27	-8.19474048191191	1.422	-1.422	-1	-1	.755162
-10.27	-8.18948822334847	1.424	-1.424	-1	-1	.756552
-10.27	-8.18424319433222	1.426	-1.426	-1	-1	.758601
-10.27	-8.17900536509144	1.428	-1.428	-1	-1	.760489
-10.27	-8.1737747060582	1.43	-1.43	-1	-1	.762925
-10.27	-8.1685511878664	1.432	-1.432	-1	-1	.764279
-10.27	-8.16333478134982	1.434	-1.434	-1	-1	.766297
-10.27	-8.15812545754029	1.436	-1.436	-1	-1	.767417
-10.27	-8.15292318766573	1.438	-1.438	-1	-1	.769685
-10.27	-8.14772794314836	1.44	-1.44	-1	-1	.771028
-10.27	-8.14253969560282	1.442	-1.442	-1	-1	.770825
