1E+07	-6.203415	-6.212421	-6.199072	-6.197734	-6.168345	-6.198076	-6.208182	-6.19683	-6.208567	-6.198873	-6.211457	-6.207593	-6.220589	-6.209978	-43.35355	-43.40166
2E+07	-6.302394	-6.337668	-6.314003	-6.312666	-6.283826	-6.313012	-6.326349	-6.317512	-6.323801	-6.320782	-6.331319	-6.32516	-6.33611	-6.329382	-39.24691	-39.25866
3E+07	-6.412991	-6.436635	-6.414861	-6.415783	-6.379715	-6.42416	-6.430187	-6.426784	-6.423759	-6.424301	-6.430954	-6.438126	-6.42788	-6.438887	-37.03465	-37.04828
4E+07	-6.502551	-6.529119	-6.501722	-6.506445	-6.465343	-6.51723	-6.520686	-6.522336	-6.511111	-6.515975	-6.521092	-6.530176	-6.516552	-6.53465	-36.08942	-36.10855
5E+07	-6.555406	-6.583923	-6.55582	-6.560632	-6.515845	-6.571618	-6.575836	-6.57721	-6.568298	-6.572108	-6.57388	-6.587381	-6.57511	-6.589277	-36.04857	-36.03702
6E+07	-6.578836	-6.600882	-6.57624	-6.581383	-6.532832	-6.590734	-6.597778	-6.602781	-6.588015	-6.596678	-6.59467	-6.608486	-6.601135	-6.61561	-36.75621	-36.78363
7E+07	-6.565047	-6.590099	-6.564956	-6.572735	-6.5205	-6.577645	-6.592524	-6.594736	-6.580494	-6.586761	-6.583869	-6.596173	-6.588412	-6.606484	-38.27283	-38.18917
8E+07	-6.525826	-6.554616	-6.531303	-6.538576	-6.483383	-6.538724	-6.55594	-6.559077	-6.54917	-6.552959	-6.547579	-6.5602	-6.553981	-6.567138	-40.25797	-40.23366
9E+07	-6.493369	-6.52406	-6.496426	-6.50368	-6.458014	-6.511928	-6.522181	-6.526497	-6.519689	-6.521076	-6.52015	-6.523914	-6.514198	-6.530475	-39.77647	-39.72833
1E+08	-6.493912	-6.526871	-6.49789	-6.510053	-6.477411	-6.533223	-6.541295	-6.54133	-6.519864	-6.520466	-6.511142	-6.518686	-6.506832	-6.519126	-37.00563	-36.97694
1.1E+08	-6.472336	-6.505472	-6.471004	-6.480048	-6.438788	-6.497934	-6.504461	-6.509031	-6.525449	-6.526113	-6.518367	-6.522099	-6.499	-6.516216	-35.59392	-35.55851
1.2E+08	-6.532922	-6.564842	-6.521432	-6.532555	-6.496187	-6.552308	-6.551275	-6.552987	-6.547015	-6.53852	-6.557387	-6.564382	-6.540641	-6.551818	-32.78547	-32.76613
