SDD21_Lower	SDD11_Upper	SCD22_Upper	SCC11_Upper	SCD21-SDD21_Upper
-17.16	-13.5948321907332	-20.3630721489527	-2	-10
-17.16	-13.5879560442878	-20.355314197052	-2	-10
-17.16	-13.5810960961347	-20.3475562451513	-2	-10
-17.16	-13.5742522323344	-20.3397982932506	-2	-10
-17.16	-13.567424340277	-20.3320403413499	-2	-10
-17.16	-13.5606123086602	-20.3242823894492	-2	-10
-17.16	-13.5538160274688	-20.3165244375485	-2	-10
-17.16	-13.5470353879533	-20.3087664856478	-2	-10
-17.16	-13.5402702826103	-20.3010085337471	-2	-10
-17.16	-13.5335206051617	-20.2932505818464	-2	-10
-17.16	-13.5267862505363	-20.2854926299457	-2	-10
-17.16	-13.5200671148497	-20.277734678045	-2	-10
-17.16	-13.5133630953864	-20.2699767261443	-2	-10
-17.16	-13.5066740905808	-20.2622187742436	-2	-10
-17.16	-13.5	-20.2544608223429	-2	-10
-17.16	-13.4933407243254	-20.2467028704422	-2	-10
-17.16	-13.4866961653361	-20.2389449185415	-2	-10
-17.16	-13.4800662258917	-20.2311869666408	-2	-10
-17.16	-13.4734508099157	-20.2234290147401	-2	-10
-17.16	-13.4668498223794	-20.2156710628394	-2	-10
-17.16	-13.4602631692859	-20.2079131109387	-2	-10
-17.16	-13.4536907576544	-20.200155159038	-2	-10
-17.16	-13.4471324955053	-20.1923972071373	-2	-10
-17.16	-13.4405882918443	-20.1846392552366	-2	-10
-17.16	-13.4340580566488	-20.1768813033359	-2	-10
-17.16	-13.4275417008526	-20.1691233514352	-2	-10
-17.16	-13.4210391363319	-20.1613653995345	-2	-10
-17.16	-13.4145502758917	-20.1536074476338	-2	-10
-17.16	-13.4080750332519	-20.1458494957331	-2	-10
-17.16	-13.4016133230341	-20.1380915438324	-2	-10
-17.16	-13.395165060748	-20.1303335919317	-2	-10
-17.16	-13.3887301627792	-20.122575640031	-2	-10
-17.16	-13.382308546376	-20.1148176881303	-2	-10
-17.16	-13.3759001296373	-20.1070597362296	-2	-10
-17.16	-13.3695048315003	-20.0993017843289	-2	-10
-17.16	-13.3631225717284	-20.0915438324282	-2	-10
-17.16	-13.3567532708997	-20.0837858805275	-2	-10
-17.16	-13.3503968503953	-20.0760279286268	-2	-10
-17.16	-13.3440532323881	-20.0682699767261	-2	-10
-17.16	-13.3377223398316	-20.0605120248254	-2	-10
-17.16	-13.331404096449	-20.0527540729247	-2	-10
-17.16	-13.3250984267225	-20.044996121024	-2	-10
-17.16	-13.3188052558826	-20.0372381691234	-2	-10
-17.16	-13.3125245098982	-20.0294802172227	-2	-10
-17.16	-13.3062561154657	-20.021722265322	-2	-10
-17.16	-13.3	-20.0139643134213	-2	-10
-17.16	-13.2937560916237	-20.0062063615206	-2	-10
-17.16	-13.2875243191582	-19.9984484096199	-2	-10
-17.16	-13.2813046121138	-19.9906904577192	-2	-10
-17.16	-13.2750969006806	-19.9829325058185	-2	-10
-17.16	-13.2689011157193	-19.9751745539178	-2	-10
-17.16	-13.2627171887523	-19.9674166020171	-2	-10
-17.16	-13.2565450519546	-19.9596586501164	-2	-10
-17.16	-13.2503846381456	-19.9519006982157	-2	-10
-17.16	-13.2442358807801	-19.944142746315	-2	-10
-17.16	-13.23809871394	-19.9363847944143	-2	-10
-17.16	-13.2319730723264	-19.9286268425136	-2	-10
-17.16	-13.225858891251	-19.9208688906129	-2	-10
-17.16	-13.2197561066287	-19.9131109387122	-2	-10
-17.16	-13.213664654969	-19.9053529868115	-2	-10
-17.16	-13.2075844733691	-19.8975950349108	-2	-10
-17.16	-13.2015154995059	-19.8898370830101	-2	-10
-17.16	-13.1954576716283	-19.8820791311094	-2	-10
-17.16	-13.1894109285506	-19.8743211792087	-2	-10
-17.16	-13.1833752096446	-19.866563227308	-2	-10
-17.16	-13.1773504548328	-19.8588052754073	-2	-10
-17.16	-13.1713366045814	-19.8510473235066	-2	-10
-17.16	-13.1653335998934	-19.8432893716059	-2	-10
-17.16	-13.159341382302	-19.8355314197052	-2	-10
-17.16	-13.1533598938637	-19.8277734678045	-2	-10
-17.16	-13.147389077152	-19.8200155159038	-2	-10
-17.16	-13.1414288752507	-19.8122575640031	-2	-10
-17.16	-13.1354792317479	-19.8044996121024	-2	-10
-17.16	-13.1295400907295	-19.7967416602017	-2	-10
-17.16	-13.1236113967732	-19.788983708301	-2	-10
-17.16	-13.1176930949424	-19.7812257564003	-2	-10
-17.16	-13.1117851307805	-19.7734678044996	-2	-10
-17.16	-13.1058874503046	-19.7657098525989	-2	-10
-17.16	-13.1	-19.7579519006982	-2	-10
-17.16	-13.0941227268147	-19.7501939487975	-2	-10
-17.16	-13.0882555781536	-19.7424359968968	-2	-10
-17.16	-13.082398501873	-19.7346780449961	-2	-10
-17.16	-13.0765514462753	-19.7269200930954	-2	-10
-17.16	-13.0707143601036	-19.7191621411947	-2	-10
-17.16	-13.0648871925365	-19.711404189294	-2	-10
-17.16	-13.0590698931829	-19.7036462373933	-2	-10
-17.16	-13.0532624120772	-19.6958882854926	-2	-10
-17.16	-13.0474646996736	-19.6881303335919	-2	-10
-17.16	-13.0416767068419	-19.6803723816912	-2	-10
-17.16	-13.0358983848622	-19.6726144297905	-2	-10
-17.16	-13.0301296854205	-19.6648564778898	-2	-10
-17.16	-13.0243705606034	-19.6570985259891	-2	-10
-17.16	-13.0186209628942	-19.6493405740884	-2	-10
-17.16	-13.0128808451675	-19.6415826221877	-2	-10
-17.16	-13.0071501606854	-19.633824670287	-2	-10
-17.16	-13.0014288630928	-19.6260667183863	-2	-10
-17.16	-12.995716906413	-19.6183087664856	-2	-10
-17.16	-12.9900142450432	-19.610550814585	-2	-10
-17.16	-12.9843208337506	-19.6027928626843	-2	-10
